8,2,0,1,5.0,-5.0
9,2,0,1,5.0,-5.0
10,2,0,1,5.0,-5.0
11,2,0,1,5.0,-5.0
12,2,0,1,5.0,-5.0
13,2,0,1,5.0,-5.0
14,2,0,1,5.0,-5.0
15,2,0,1,5.0,-5.0
16,2,0,1,5.0,-5.0
17,2,0,1,5.0,-5.0
18,2,2,3,5.0,-5.0
19,2,2,3,5.0,-5.0
20,2,2,3,5.0,-5.0
21,2,2,3,5.0,-5.0
22,2,2,3,5.0,-5.0
23,2,2,3,5.0,-5.0
24,2,2,3,5.0,-5.0
25,2,2,3,5.0,-5.0
26,2,2,3,5.0,-5.0
27,2,2,3,5.0,-5.0
28,2,4,5,5.0,-5.0
29,2,4,5,5.0,-5.0
30,2,4,5,5.0,-5.0
31,2,4,5,5.0,-5.0
32,2,4,5,5.0,-5.0
33,2,4,5,5.0,-5.0
34,2,4,5,5.0,-5.0
35,2,4,5,5.0,-5.0
36,2,4,5,5.0,-5.0
37,2,4,5,5.0,-5.0
38,2,6,7,5.0,-5.0
39,2,6,7,5.0,-5.0
40,2,6,7,5.0,-5.0
41,2,6,7,5.0,-5.0
42,2,6,7,5.0,-5.0
43,2,6,7,5.0,-5.0
44,2,6,7,5.0,-5.0
45,2,6,7,5.0,-5.0
46,2,6,7,5.0,-5.0
47,2,6,7,5.0,-5.0
